Статус оповещения;Перегон;Продолжительность;Признак вины сторонней организации;Признак вины сервисной организации;Предприятие сторон. организаций;Предприятие сервис. организаций;Серия отказавшего локомотива;Бортовой номер отказавшего локомотива;Категория отказа;ОТС 1 уровня;ОТС 3 уровня;ID отказа;Начало отказа;Группа причин;ОТС 2 уровня;Вид следования отказавшего локомотива;теп / эле;месяц;дат;ден
расследован;ЯРОСЛАВЛЬ-ГЛ;15;нет;есть;;;2ТЭ116У;155;3 категория;Электрооборудование силовой цепи  вспомогательных цепей и цепей управления локомотива  МВПС;Провода  кабели силовых цепей;11611993;04.01.2021 12:42;Неисправность проводов  кабелей силовых цепей;Провода  кабели силовых цепей;грузовое;тепловозы;1;04.01.2021;4
расследован;ЛУЖСКАЯ;30;нет;есть;;;ВЛ10У;764;2 категория;Тормозное и пневматическое оборудование локомотива  МВПС;Клапанная коробка поездного компрессора;11612326;06.01.2021 03:00;Неисправность клапанной коробки поездного компрессора;Компрессор поездной;грузовое;электровозы;1;06.01.2021;6
расследован;ВОЙСКОВИЦЫ;96;нет;есть;;;ВЛ10;419;1 категория;Электрооборудование силовой цепи  вспомогательных цепей и цепей управления локомотива  МВПС;Удерживающая катушка быстродействующего выключателя;11612365;06.01.2021 04:49;Неисправность удерживающей катушки быстродействующего выключателя;Быстродействующий выключатель;грузовое;электровозы;1;06.01.2021;6
расследован;ЗЕЛЕНОГОРСК;91;нет;есть;;;ВЛ10;963;1 категория;Электрооборудование силовой цепи  вспомогательных цепей и цепей управления локомотива  МВПС;Пневматический привод электропневматического контактора силовой цепи;11612426;06.01.2021 05:46;Неисправность элементов пневмопривода электропневматического контактора силовой цепи;Контактор электропневматический силовой цепи;грузовое;электровозы;1;06.01.2021;6
расследован;ВЕЙМАРН;14;нет;есть;;;2ТЭ116У;140;3 категория;Дизель и дизельное оборудование локомотива  МВПС;Вентиль системы подачи масла;11612584;06.01.2021 08:48;Неисправность вентиля системы подачи масла;Система подачи масла;грузовое;тепловозы;1;06.01.2021;6
расследован;КОСТРИХА-МАНТУРОВО;50;есть;нет;без клейма;;2ЭС7;7;2 категория;Приборы безопасности и радиосвязь локомотива  МВПС;Блок БС-ДПС/М-САN;11613194;06.01.2021 10:00;Неисправность БС-ДПС/M-CAN;Безопасный локомотивный объединенный комплекс (БЛОК);грузовое;электровозы;1;06.01.2021;6
расследован;КИКЕРИНО-ВОЛОСОВО;4;нет;есть;;;ВЛ15С;28;3 категория;Электрооборудование силовой цепи  вспомогательных цепей и цепей управления локомотива  МВПС;Контактор кулачковый контроллера машиниста;11613212;06.01.2021 16:40;Неисправность контактора кулачкового контроллера машиниста;Контроллер машиниста;грузовое;электровозы;1;06.01.2021;6
расследован;ЛАДВА;29;нет;есть;;;ЭП1;45;2 категория;Электрооборудование силовой цепи  вспомогательных цепей и цепей управления локомотива  МВПС;Провода  кабели низковольтных цепей и цепей управления;11613226;06.01.2021 16:17;Неисправность провода  кабеля низковольтных цепей и цепей управления;Провода  кабели низковольтных цепей и цепей управления;пассажирское;электровозы;1;06.01.2021;6
расследован;МОЛОДИ-ТОРОШИНО;133;нет;есть;;;2ТЭ116У;316;1 категория;Электрооборудование силовой цепи  вспомогательных цепей и цепей управления локомотива  МВПС;Силовые контакты электромагнитного контактора силовой цепи;11613340;06.01.2021 19:17;Неисправность силовых контактов электромагнитного контактора силовой цепи;Контактор электромагнитный силовой цепи;грузовое;тепловозы;1;06.01.2021;6
расследован;СПБ-СОРТ-МОСК;14;нет;нет;;;2ЭС4К;58;3 категория;Электрооборудование силовой цепи  вспомогательных цепей и цепей управления локомотива  МВПС;Нагревательный элемент электрической печи;11613540;07.01.2021 05:00;Неисправность нагревательного элемента электрической печи;Электрическая печь;грузовое;электровозы;1;07.01.2021;7
расследован;БЕРЕЗКИ;40;нет;есть;;;2ТЭ116У;33;1 категория;Тяговые электрические машины локомотива  МВПС;Моторно-якорный подшипник тягового двигателя постоянного тока;11613743;07.01.2021 08:42;Неисправность моторно-якорного подшипника тягового двигателя постоянного тока;Тяговый двигатель постоянного тока;грузовое;тепловозы;1;07.01.2021;7
